,Model,Best Params,MSE,MAE,R^2,Category,min_reviews
0,DummyRegressor,{'strategy': 'mean'},0.038729155463118,0.15191690097124091,-0.00867674664181406,"('overall', 'review_scores_rating')",3
1,DummyRegressor,{'strategy': 'mean'},0.026232416318218855,0.12475812231018113,-0.014219477315015494,"('accurate', 'review_scores_accuracy')",3
2,DummyRegressor,{'strategy': 'mean'},0.05430599592000436,0.1787671640608933,-0.012867829062833458,"('clean', 'review_scores_cleanliness')",3
3,DummyRegressor,{'strategy': 'mean'},0.03083343842101209,0.11958933998285672,-0.006977061361044257,"('checkin', 'review_scores_checkin')",3
4,DummyRegressor,{'strategy': 'mean'},0.023074986459537417,0.10933204354041137,-0.004037954683882683,"('communication', 'review_scores_communication')",3
5,DummyRegressor,{'strategy': 'mean'},0.03259700595030029,0.13862529748483998,-0.0029148320820140405,"('location', 'review_scores_location')",3
6,DummyRegressor,{'strategy': 'mean'},0.0507992556673807,0.17259505143629444,-0.006539185543593895,"('value', 'review_scores_value')",3
7,DummyRegressor,{'strategy': 'mean'},0.03353155426782026,0.13780896177685936,-0.0005007361222963969,"('overall', 'review_scores_rating')",10
8,DummyRegressor,{'strategy': 'mean'},0.023326747933884305,0.11009731404958666,-0.0015574282741908085,"('accurate', 'review_scores_accuracy')",10
9,DummyRegressor,{'strategy': 'mean'},0.04265965654054752,0.15527042871900812,-0.0002863069332532664,"('clean', 'review_scores_cleanliness')",10
10,DummyRegressor,{'strategy': 'mean'},0.028964469653925635,0.11115981404958666,-0.003178354808424544,"('checkin', 'review_scores_checkin')",10
11,DummyRegressor,{'strategy': 'mean'},0.02161590302169422,0.10196580578512396,-0.007866047203761495,"('communication', 'review_scores_communication')",10
12,DummyRegressor,{'strategy': 'mean'},0.03064883471074379,0.1322338842975207,-0.006478314868723523,"('location', 'review_scores_location')",10
13,DummyRegressor,{'strategy': 'mean'},0.04075703283186983,0.15756810433884297,-0.001151452377054385,"('value', 'review_scores_value')",10
14,DummyRegressor,{'strategy': 'mean'},0.031835260797927874,0.13839708017840474,-1.723227287797613e-05,"('overall', 'review_scores_rating')",20
15,DummyRegressor,{'strategy': 'mean'},0.019317099685148446,0.10318327974276553,-0.0003798329049236049,"('accurate', 'review_scores_accuracy')",20
16,DummyRegressor,{'strategy': 'mean'},0.038689568780510664,0.15161072502852418,-0.0015965139372251524,"('clean', 'review_scores_cleanliness')",20
17,DummyRegressor,{'strategy': 'mean'},0.01733405884792269,0.09467718597655843,-0.0005498212152004189,"('checkin', 'review_scores_checkin')",20
18,DummyRegressor,{'strategy': 'mean'},0.015442143793643425,0.0887626283580541,-0.003991411013716695,"('communication', 'review_scores_communication')",20
19,DummyRegressor,{'strategy': 'mean'},0.024214751538079983,0.12141362410538328,-0.0003451052420049283,"('location', 'review_scores_location')",20
20,DummyRegressor,{'strategy': 'mean'},0.033399599556330324,0.14394990146250383,-0.0005287112044187747,"('value', 'review_scores_value')",20
